"","year","state","district","state_number","observation_number","state_path","district_path","observation_path"
"284"," 1813–1820 (obsolete since 1820 move to Maine[8])","Massachusetts","18",21,284,"/state-21","/state-21/district-18","/state-21/district-18"
"285"," 1813–1820 (obsolete since 1820 move to Maine[8])","Massachusetts","19",21,285,"/state-21","/state-21/district-19","/state-21/district-19"
"286"," 1813–1820 (obsolete since 1820 move to Maine[8])","Massachusetts","20",21,286,"/state-21","/state-21/district-20","/state-21/district-20"
"287"," 1819–1837 (obsolete since statehood)","Michigan","Territory",22,287,"/state-22","/state-22/district-Territory","/state-22/district-Territory"
"288"," 1835–1843, 1913–1915, 1963–1965 (obsolete)","Michigan","At-large",22,288,"/state-22","/state-22/district-At-large","/state-22/district-At-large"
"289"," 1843–present","Michigan","1",22,289,"/state-22","/state-22/district-1","/state-22/district-1"
"290"," 1843–present","Michigan","2",22,290,"/state-22","/state-22/district-2","/state-22/district-2"
"291"," 1843–present","Michigan","3",22,291,"/state-22","/state-22/district-3","/state-22/district-3"
"292"," 1853–present","Michigan","4",22,292,"/state-22","/state-22/district-4","/state-22/district-4"
"293"," 1863–present","Michigan","5",22,293,"/state-22","/state-22/district-5","/state-22/district-5"
"294"," 1863–present","Michigan","6",22,294,"/state-22","/state-22/district-6","/state-22/district-6"
"295"," 1873–present","Michigan","7",22,295,"/state-22","/state-22/district-7","/state-22/district-7"
"296"," 1873–present","Michigan","8",22,296,"/state-22","/state-22/district-8","/state-22/district-8"
"297"," 1873–present","Michigan","9",22,297,"/state-22","/state-22/district-9","/state-22/district-9"
"298"," 1883–present","Michigan","10",22,298,"/state-22","/state-22/district-10","/state-22/district-10"
"299"," 1883–present","Michigan","11",22,299,"/state-22","/state-22/district-11","/state-22/district-11"
"300"," 1893–present","Michigan","12",22,300,"/state-22","/state-22/district-12","/state-22/district-12"
"301"," 1915–present","Michigan","13",22,301,"/state-22","/state-22/district-13","/state-22/district-13"
"302"," 1933–present","Michigan","14",22,302,"/state-22","/state-22/district-14","/state-22/district-14"
"303"," 1933–2013 (obsolete since the 2010 census)","Michigan","15",22,303,"/state-22","/state-22/district-15","/state-22/district-15"
"304"," 1933–2003 (obsolete since the 2000 census)","Michigan","16",22,304,"/state-22","/state-22/district-16","/state-22/district-16"
"305"," 1933–1993 (obsolete since the 1990 census)","Michigan","17",22,305,"/state-22","/state-22/district-17","/state-22/district-17"
"306"," 1953–1993 (obsolete since the 1990 census)","Michigan","18",22,306,"/state-22","/state-22/district-18","/state-22/district-18"
"307"," 1965–1983 (obsolete since the 1980 census)","Michigan","19",22,307,"/state-22","/state-22/district-19","/state-22/district-19"
"308"," 1849–1858 (obsolete since statehood)","Minnesota","Territory",23,308,"/state-23","/state-23/district-Territory","/state-23/district-Territory"
"309"," 1857–1863, 1913–1915, 1933–1935 (obsolete)","Minnesota","At-large",23,309,"/state-23","/state-23/district-At-large","/state-23/district-At-large"
"310"," 1863–1933, 1935–present","Minnesota","1",23,310,"/state-23","/state-23/district-1","/state-23/district-1"
"311"," 1863–1933, 1935–present","Minnesota","2",23,311,"/state-23","/state-23/district-2","/state-23/district-2"
"312"," 1873–1933, 1935–present","Minnesota","3",23,312,"/state-23","/state-23/district-3","/state-23/district-3"
"313"," 1883–1933, 1935–present","Minnesota","4",23,313,"/state-23","/state-23/district-4","/state-23/district-4"
"314"," 1883–1933, 1935–present","Minnesota","5",23,314,"/state-23","/state-23/district-5","/state-23/district-5"
"315"," 1893–1933, 1935–present","Minnesota","6",23,315,"/state-23","/state-23/district-6","/state-23/district-6"
"316"," 1893–1933, 1935–present","Minnesota","7",23,316,"/state-23","/state-23/district-7","/state-23/district-7"
"317"," 1903–1933, 1935–present","Minnesota","8",23,317,"/state-23","/state-23/district-8","/state-23/district-8"
"318"," 1903–1933, 1935–1963 (obsolete since the 1960 census)","Minnesota","9",23,318,"/state-23","/state-23/district-9","/state-23/district-9"
"319"," 1915–1933 (obsolete since the 1930 census)","Minnesota","10",23,319,"/state-23","/state-23/district-10","/state-23/district-10"
"320"," 1801–1817 (obsolete since statehood)","Mississippi","Territory",24,320,"/state-24","/state-24/district-Territory","/state-24/district-Territory"
"321"," 1817–1847, 1853–1855 (obsolete)","Mississippi","At-large",24,321,"/state-24","/state-24/district-At-large","/state-24/district-At-large"
"322"," 1847–present","Mississippi","1",24,322,"/state-24","/state-24/district-1","/state-24/district-1"
"323"," 1847–present","Mississippi","2",24,323,"/state-24","/state-24/district-2","/state-24/district-2"
"324"," 1847–present","Mississippi","3",24,324,"/state-24","/state-24/district-3","/state-24/district-3"
"325"," 1847–present","Mississippi","4",24,325,"/state-24","/state-24/district-4","/state-24/district-4"
"326"," 1855–2003 (obsolete since the 2000 census)","Mississippi","5",24,326,"/state-24","/state-24/district-5","/state-24/district-5"
"327"," 1873–1963 (obsolete since the 1960 census)","Mississippi","6",24,327,"/state-24","/state-24/district-6","/state-24/district-6"
"328"," 1883–1953 (obsolete since the 1950 census)","Mississippi","7",24,328,"/state-24","/state-24/district-7","/state-24/district-7"
"329"," 1903–1933 (obsolete since the 1930 census)","Mississippi","8",24,329,"/state-24","/state-24/district-8","/state-24/district-8"
"330"," 1812–1821 (obsolete since statehood)","Missouri","Territory",25,330,"/state-25","/state-25/district-Territory","/state-25/district-Territory"
"331"," 1821–1847, 1933–1935 (obsolete)","Missouri","At-large",25,331,"/state-25","/state-25/district-At-large","/state-25/district-At-large"
"332"," 1847–1933, 1935–present","Missouri","1",25,332,"/state-25","/state-25/district-1","/state-25/district-1"
"333"," 1847–1933, 1935–present","Missouri","2",25,333,"/state-25","/state-25/district-2","/state-25/district-2"
"334"," 1847–1933, 1935–present","Missouri","3",25,334,"/state-25","/state-25/district-3","/state-25/district-3"
"335"," 1847–1933, 1935–present","Missouri","4",25,335,"/state-25","/state-25/district-4","/state-25/district-4"
"336"," 1847–1933, 1935–present","Missouri","5",25,336,"/state-25","/state-25/district-5","/state-25/district-5"
"337"," 1853–1933, 1935–present","Missouri","6",25,337,"/state-25","/state-25/district-6","/state-25/district-6"
"338"," 1853–1933, 1935–present","Missouri","7",25,338,"/state-25","/state-25/district-7","/state-25/district-7"
"339"," 1863–1933, 1935–present","Missouri","8",25,339,"/state-25","/state-25/district-8","/state-25/district-8"
"340"," 1863–1933, 1935–2013 (obsolete since the 2010 census)","Missouri","9",25,340,"/state-25","/state-25/district-9","/state-25/district-9"
"341"," 1873–1933, 1935–1983 (obsolete since the 1980 census)","Missouri","10",25,341,"/state-25","/state-25/district-10","/state-25/district-10"
"342"," 1873–1933, 1935–1963 (obsolete since the 1960 census)","Missouri","11",25,342,"/state-25","/state-25/district-11","/state-25/district-11"
"343"," 1873–1933, 1935–1953 (obsolete since the 1950 census)","Missouri","12",25,343,"/state-25","/state-25/district-12","/state-25/district-12"
"344"," 1873–1933, 1935–1953 (obsolete since the 1950 census)","Missouri","13",25,344,"/state-25","/state-25/district-13","/state-25/district-13"
"345"," 1883–1933 (obsolete since the 1930 census)","Missouri","14",25,345,"/state-25","/state-25/district-14","/state-25/district-14"
"346"," 1893–1933 (obsolete since the 1930 census)","Missouri","15",25,346,"/state-25","/state-25/district-15","/state-25/district-15"
"347"," 1903–1933 (obsolete since the 1930 census)","Missouri","16",25,347,"/state-25","/state-25/district-16","/state-25/district-16"
"348"," 1865–1889 (obsolete since statehood)","Montana","Territory",26,348,"/state-26","/state-26/district-Territory","/state-26/district-Territory"
"349"," 1889–1919, 1993–present","Montana","At-large",26,349,"/state-26","/state-26/district-At-large","/state-26/district-At-large"
"350"," 1919–1993 (obsolete since the 1990 census)","Montana","1",26,350,"/state-26","/state-26/district-1","/state-26/district-1"
"351"," 1919–1993 (obsolete since the 1990 census)","Montana","2",26,351,"/state-26","/state-26/district-2","/state-26/district-2"
"352"," 1855–1867 (obsolete since statehood)","Nebraska","Territory",27,352,"/state-27","/state-27/district-Territory","/state-27/district-Territory"
"353"," 1867–1883 (obsolete)","Nebraska","At-large",27,353,"/state-27","/state-27/district-At-large","/state-27/district-At-large"
"354"," 1883–present","Nebraska","1",27,354,"/state-27","/state-27/district-1","/state-27/district-1"
"355"," 1883–present","Nebraska","2",27,355,"/state-27","/state-27/district-2","/state-27/district-2"
"356"," 1883–present","Nebraska","3",27,356,"/state-27","/state-27/district-3","/state-27/district-3"
"357"," 1893–1963 (obsolete since the 1960 census)","Nebraska","4",27,357,"/state-27","/state-27/district-4","/state-27/district-4"
"358"," 1893–1943 (obsolete since the 1940 census)","Nebraska","5",27,358,"/state-27","/state-27/district-5","/state-27/district-5"
"359"," 1893–1933 (obsolete since the 1930 census)","Nebraska","6",27,359,"/state-27","/state-27/district-6","/state-27/district-6"
"360"," 1861–1864 (obsolete since statehood)","Nevada","Territory",28,360,"/state-28","/state-28/district-Territory","/state-28/district-Territory"
"361"," 1864–1983 (obsolete)","Nevada","At-large",28,361,"/state-28","/state-28/district-At-large","/state-28/district-At-large"
"362"," 1983–present","Nevada","1",28,362,"/state-28","/state-28/district-1","/state-28/district-1"
"363"," 1983–present","Nevada","2",28,363,"/state-28","/state-28/district-2","/state-28/district-2"
"364"," 2003–present","Nevada","3",28,364,"/state-28","/state-28/district-3","/state-28/district-3"
"365"," 2013–present","Nevada","4",28,365,"/state-28","/state-28/district-4","/state-28/district-4"
"366"," 1789–1847 (obsolete)","New Hampshire","At-large",29,366,"/state-29","/state-29/district-At-large","/state-29/district-At-large"
"367"," 1847–present","New Hampshire","1",29,367,"/state-29","/state-29/district-1","/state-29/district-1"
"368"," 1847–present","New Hampshire","2",29,368,"/state-29","/state-29/district-2","/state-29/district-2"
"369"," 1847–1883 (obsolete since the 1880 census)","New Hampshire","3",29,369,"/state-29","/state-29/district-3","/state-29/district-3"
"370"," 1847–1853 (obsolete since the 1850 census)","New Hampshire","4",29,370,"/state-29","/state-29/district-4","/state-29/district-4"
"371"," 1789–1799, 1801–1813, 1815–1843 (obsolete)","New Jersey","At-large",30,371,"/state-30","/state-30/district-At-large","/state-30/district-At-large"
"372"," 1799–1801, 1813–1815, 1843–present","New Jersey","1",30,372,"/state-30","/state-30/district-1","/state-30/district-1"
"373"," 1799–1801, 1813–1815, 1843–present","New Jersey","2",30,373,"/state-30","/state-30/district-2","/state-30/district-2"
"374"," 1799–1801, 1813–1815, 1843–present","New Jersey","3",30,374,"/state-30","/state-30/district-3","/state-30/district-3"
"375"," 1799–1801, 1843–present","New Jersey","4",30,375,"/state-30","/state-30/district-4","/state-30/district-4"
"376"," 1799–1801, 1843–present","New Jersey","5",30,376,"/state-30","/state-30/district-5","/state-30/district-5"
"377"," 1873–present","New Jersey","6",30,377,"/state-30","/state-30/district-6","/state-30/district-6"
"378"," 1873–present","New Jersey","7",30,378,"/state-30","/state-30/district-7","/state-30/district-7"
"379"," 1893–present","New Jersey","8",30,379,"/state-30","/state-30/district-8","/state-30/district-8"
"380"," 1903–present","New Jersey","9",30,380,"/state-30","/state-30/district-9","/state-30/district-9"
"381"," 1903–present","New Jersey","10",30,381,"/state-30","/state-30/district-10","/state-30/district-10"
"382"," 1913–present","New Jersey","11",30,382,"/state-30","/state-30/district-11","/state-30/district-11"
"383"," 1913–present","New Jersey","12",30,383,"/state-30","/state-30/district-12","/state-30/district-12"
"384"," 1933–2013 (obsolete since the 2010 census)","New Jersey","13",30,384,"/state-30","/state-30/district-13","/state-30/district-13"
"385"," 1933–1993 (obsolete since the 1990 census)","New Jersey","14",30,385,"/state-30","/state-30/district-14","/state-30/district-14"
"386"," 1963–1983 (obsolete since the 1980 census)","New Jersey","15",30,386,"/state-30","/state-30/district-15","/state-30/district-15"
"387"," 1851–1912 (obsolete since statehood)","New Mexico","Territory",31,387,"/state-31","/state-31/district-Territory","/state-31/district-Territory"
"388"," 1912–1969 (obsolete)","New Mexico","At-large",31,388,"/state-31","/state-31/district-At-large","/state-31/district-At-large"
"389"," 1969–present","New Mexico","1",31,389,"/state-31","/state-31/district-1","/state-31/district-1"
"390"," 1969–present","New Mexico","2",31,390,"/state-31","/state-31/district-2","/state-31/district-2"
"391"," 1983–present","New Mexico","3",31,391,"/state-31","/state-31/district-3","/state-31/district-3"
"392"," 1873–1875, 1883–1885, 1933–1945 (obsolete)","New York","At-large",32,392,"/state-32","/state-32/district-At-large","/state-32/district-At-large"
"393"," 1789–present","New York","1",32,393,"/state-32","/state-32/district-1","/state-32/district-1"
"394"," 1789–present","New York","2",32,394,"/state-32","/state-32/district-2","/state-32/district-2"
"395"," 1789–present","New York","3",32,395,"/state-32","/state-32/district-3","/state-32/district-3"
"396"," 1789–present","New York","4",32,396,"/state-32","/state-32/district-4","/state-32/district-4"
"397"," 1789–present","New York","5",32,397,"/state-32","/state-32/district-5","/state-32/district-5"
"398"," 1789–present","New York","6",32,398,"/state-32","/state-32/district-6","/state-32/district-6"
"399"," 1793–present","New York","7",32,399,"/state-32","/state-32/district-7","/state-32/district-7"
"400"," 1793–present","New York","8",32,400,"/state-32","/state-32/district-8","/state-32/district-8"
"401"," 1793–present","New York","9",32,401,"/state-32","/state-32/district-9","/state-32/district-9"
"402"," 1793–present","New York","10",32,402,"/state-32","/state-32/district-10","/state-32/district-10"
"403"," 1803–present","New York","11",32,403,"/state-32","/state-32/district-11","/state-32/district-11"
"404"," 1803–present","New York","12",32,404,"/state-32","/state-32/district-12","/state-32/district-12"
"405"," 1803–present","New York","13",32,405,"/state-32","/state-32/district-13","/state-32/district-13"
"406"," 1803–present","New York","14",32,406,"/state-32","/state-32/district-14","/state-32/district-14"
"407"," 1803–present","New York","15",32,407,"/state-32","/state-32/district-15","/state-32/district-15"
"408"," 1803–1809, 1813–present","New York","16",32,408,"/state-32","/state-32/district-16","/state-32/district-16"
"409"," 1803–1809, 1813–present","New York","17",32,409,"/state-32","/state-32/district-17","/state-32/district-17"
"410"," 1813–present","New York","18",32,410,"/state-32","/state-32/district-18","/state-32/district-18"
"411"," 1813–present","New York","19",32,411,"/state-32","/state-32/district-19","/state-32/district-19"
"412"," 1813–present","New York","20",32,412,"/state-32","/state-32/district-20","/state-32/district-20"
"413"," 1813–present","New York","21",32,413,"/state-32","/state-32/district-21","/state-32/district-21"
"414"," 1821–present","New York","22",32,414,"/state-32","/state-32/district-22","/state-32/district-22"
"415"," 1823–present","New York","23",32,415,"/state-32","/state-32/district-23","/state-32/district-23"
"416"," 1823–present","New York","24",32,416,"/state-32","/state-32/district-24","/state-32/district-24"
"417"," 1823–present","New York","25",32,417,"/state-32","/state-32/district-25","/state-32/district-25"
"418"," 1823–present","New York","26",32,418,"/state-32","/state-32/district-26","/state-32/district-26"
"419"," 1823–present","New York","27",32,419,"/state-32","/state-32/district-27","/state-32/district-27"
"420"," 1823–2013 (obsolete since the 2010 census)","New York","28",32,420,"/state-32","/state-32/district-28","/state-32/district-28"
"421"," 1823–2013 (obsolete since the 2010 census)","New York","29",32,421,"/state-32","/state-32/district-29","/state-32/district-29"
"422"," 1823–2003 (obsolete since the 2000 census)","New York","30",32,422,"/state-32","/state-32/district-30","/state-32/district-30"
"423"," 1833–2003 (obsolete since the 2000 census)","New York","31",32,423,"/state-32","/state-32/district-31","/state-32/district-31"
"424"," 1833–1863, 1873–1993 (obsolete since the 1990 census)","New York","32",32,424,"/state-32","/state-32/district-32","/state-32/district-32"
"425"," 1833–1863, 1875–1993 (obsolete since the 1990 census)","New York","33",32,425,"/state-32","/state-32/district-33","/state-32/district-33"
"426"," 1843–1853, 1885–1993 (obsolete since the 1990 census)","New York","34",32,426,"/state-32","/state-32/district-34","/state-32/district-34"
"427"," 1903–1983 (obsolete since the 1980 census)","New York","35",32,427,"/state-32","/state-32/district-35","/state-32/district-35"
"428"," 1903–1983 (obsolete since the 1980 census)","New York","36",32,428,"/state-32","/state-32/district-36","/state-32/district-36"
"429"," 1903–1983 (obsolete since the 1980 census)","New York","37",32,429,"/state-32","/state-32/district-37","/state-32/district-37"
"430"," 1913–1983 (obsolete since the 1980 census)","New York","38",32,430,"/state-32","/state-32/district-38","/state-32/district-38"
"431"," 1913–1983 (obsolete since the 1980 census)","New York","39",32,431,"/state-32","/state-32/district-39","/state-32/district-39"
"432"," 1913–1973 (obsolete since the 1970 census)","New York","40",32,432,"/state-32","/state-32/district-40","/state-32/district-40"
"433"," 1913–1973 (obsolete since the 1970 census)","New York","41",32,433,"/state-32","/state-32/district-41","/state-32/district-41"
"434"," 1913–1963 (obsolete since the 1960 census)","New York","42",32,434,"/state-32","/state-32/district-42","/state-32/district-42"
"435"," 1913–1963 (obsolete since the 1960 census)","New York","43",32,435,"/state-32","/state-32/district-43","/state-32/district-43"
"436"," 1945–1953 (obsolete since the 1950 census)","New York","44",32,436,"/state-32","/state-32/district-44","/state-32/district-44"
"437"," 1945–1953 (obsolete since the 1950 census)","New York","45",32,437,"/state-32","/state-32/district-45","/state-32/district-45"
"438"," 1883–1885 (obsolete)","North Carolina","At-large",33,438,"/state-33","/state-33/district-At-large","/state-33/district-At-large"
"439"," 1789–present","North Carolina","1",33,439,"/state-33","/state-33/district-1","/state-33/district-1"
"440"," 1789–present","North Carolina","2",33,440,"/state-33","/state-33/district-2","/state-33/district-2"
"441"," 1789–present","North Carolina","3",33,441,"/state-33","/state-33/district-3","/state-33/district-3"
"442"," 1789–present","North Carolina","4",33,442,"/state-33","/state-33/district-4","/state-33/district-4"
"443"," 1789–present","North Carolina","5",33,443,"/state-33","/state-33/district-5","/state-33/district-5"
"444"," 1793–present","North Carolina","6",33,444,"/state-33","/state-33/district-6","/state-33/district-6"
"445"," 1793–present","North Carolina","7",33,445,"/state-33","/state-33/district-7","/state-33/district-7"
"446"," 1793–1863, 1873–present","North Carolina","8",33,446,"/state-33","/state-33/district-8","/state-33/district-8"
"447"," 1793–1853, 1885–present","North Carolina","9",33,447,"/state-33","/state-33/district-9","/state-33/district-9"
"448"," 1793–1843, 1903–present","North Carolina","10",33,448,"/state-33","/state-33/district-10","/state-33/district-10"
"449"," 1803–1843, 1933–present","North Carolina","11",33,449,"/state-33","/state-33/district-11","/state-33/district-11"
"450"," 1803–1843, 1943–1963, 1993–present","North Carolina","12",33,450,"/state-33","/state-33/district-12","/state-33/district-12"
"451"," 1813–1843, 2003–present","North Carolina","13",33,451,"/state-33","/state-33/district-13","/state-33/district-13"
"452"," 1861–1889 (obsolete since statehood)","North Dakota","Dakota Territory",34,452,"/state-34","/state-34/district-Dakota Territory","/state-34/district-Dakota Territory"
"453"," 1889–1913, 1933–1963, 1973–present","North Dakota","At-large",34,453,"/state-34","/state-34/district-At-large","/state-34/district-At-large"
"454"," 1913–1933, 1963–1973 (obsolete since the 1970 census)","North Dakota","1",34,454,"/state-34","/state-34/district-1","/state-34/district-1"
"455"," 1913–1933, 1963–1973 (obsolete since the 1970 census)","North Dakota","2",34,455,"/state-34","/state-34/district-2","/state-34/district-2"
"456"," 1913–1933 (obsolete since the 1930 census)","North Dakota","3",34,456,"/state-34","/state-34/district-3","/state-34/district-3"
"457"," 1799–1803 (obsolete since statehood)","Ohio","Northwest Territory",35,457,"/state-35","/state-35/district-Northwest Territory","/state-35/district-Northwest Territory"
"458"," 1803–1813, 1913–1915, 1933–1953, 1963–1967 (obsolete)","Ohio","At-large",35,458,"/state-35","/state-35/district-At-large","/state-35/district-At-large"
"459"," 1813–present","Ohio","1",35,459,"/state-35","/state-35/district-1","/state-35/district-1"
"460"," 1813–present","Ohio","2",35,460,"/state-35","/state-35/district-2","/state-35/district-2"
"461"," 1813–present","Ohio","3",35,461,"/state-35","/state-35/district-3","/state-35/district-3"
"462"," 1813–present","Ohio","4",35,462,"/state-35","/state-35/district-4","/state-35/district-4"
"463"," 1813–present","Ohio","5",35,463,"/state-35","/state-35/district-5","/state-35/district-5"
"464"," 1813–present","Ohio","6",35,464,"/state-35","/state-35/district-6","/state-35/district-6"
"465"," 1823–present","Ohio","7",35,465,"/state-35","/state-35/district-7","/state-35/district-7"
"466"," 1823–present","Ohio","8",35,466,"/state-35","/state-35/district-8","/state-35/district-8"
"467"," 1823–present","Ohio","9",35,467,"/state-35","/state-35/district-9","/state-35/district-9"
"468"," 1823–present","Ohio","10",35,468,"/state-35","/state-35/district-10","/state-35/district-10"
"469"," 1823–present","Ohio","11",35,469,"/state-35","/state-35/district-11","/state-35/district-11"
"470"," 1823–present","Ohio","12",35,470,"/state-35","/state-35/district-12","/state-35/district-12"
"471"," 1823–present","Ohio","13",35,471,"/state-35","/state-35/district-13","/state-35/district-13"
"472"," 1823–present","Ohio","14",35,472,"/state-35","/state-35/district-14","/state-35/district-14"
"473"," 1833–present","Ohio","15",35,473,"/state-35","/state-35/district-15","/state-35/district-15"
"474"," 1833–present","Ohio","16",35,474,"/state-35","/state-35/district-16","/state-35/district-16"
"475"," 1833–2013 (obsolete since the 2010 census)","Ohio","17",35,475,"/state-35","/state-35/district-17","/state-35/district-17"
"476"," 1833–2013 (obsolete since the 2010 census)","Ohio","18",35,476,"/state-35","/state-35/district-18","/state-35/district-18"
"477"," 1833–2003 (obsolete since the 2000 census)","Ohio","19",35,477,"/state-35","/state-35/district-19","/state-35/district-19"
"478"," 1843–1863, 1873–1993 (obsolete since the 1990 census)","Ohio","20",35,478,"/state-35","/state-35/district-20","/state-35/district-20"
"479"," 1843–1863, 1883–1993 (obsolete since the 1990 census)","Ohio","21",35,479,"/state-35","/state-35/district-21","/state-35/district-21"
"480"," 1915–1983 (obsolete since the 1980 census)","Ohio","22",35,480,"/state-35","/state-35/district-22","/state-35/district-22"
"481"," 1953–1983 (obsolete since the 1980 census)","Ohio","23",35,481,"/state-35","/state-35/district-23","/state-35/district-23"
"482"," 1967–1973 (obsolete since the 1970 census)","Ohio","24",35,482,"/state-35","/state-35/district-24","/state-35/district-24"
"483"," 1890–1907 (obsolete since statehood)","Oklahoma","Territory",36,483,"/state-36","/state-36/district-Territory","/state-36/district-Territory"
"484"," 1913–1915, 1933–1943 (obsolete)","Oklahoma","At-large",36,484,"/state-36","/state-36/district-At-large","/state-36/district-At-large"
"485"," 1907–present","Oklahoma","1",36,485,"/state-36","/state-36/district-1","/state-36/district-1"
"486"," 1907–present","Oklahoma","2",36,486,"/state-36","/state-36/district-2","/state-36/district-2"
"487"," 1907–present","Oklahoma","3",36,487,"/state-36","/state-36/district-3","/state-36/district-3"
"488"," 1907–present","Oklahoma","4",36,488,"/state-36","/state-36/district-4","/state-36/district-4"
"489"," 1907–present","Oklahoma","5",36,489,"/state-36","/state-36/district-5","/state-36/district-5"
"490"," 1915–2003 (obsolete since the 2000 census)","Oklahoma","6",36,490,"/state-36","/state-36/district-6","/state-36/district-6"
"491"," 1915–1953 (obsolete since the 1950 census)","Oklahoma","7",36,491,"/state-36","/state-36/district-7","/state-36/district-7"
"492"," 1915–1953 (obsolete since the 1950 census)","Oklahoma","8",36,492,"/state-36","/state-36/district-8","/state-36/district-8"
"493"," 1849–1859 (obsolete since statehood)","Oregon","Territory",37,493,"/state-37","/state-37/district-Territory","/state-37/district-Territory"
"494"," 1859–1893 (obsolete)","Oregon","At-large",37,494,"/state-37","/state-37/district-At-large","/state-37/district-At-large"
"495"," 1893–present","Oregon","1",37,495,"/state-37","/state-37/district-1","/state-37/district-1"
"496"," 1893–present","Oregon","2",37,496,"/state-37","/state-37/district-2","/state-37/district-2"
"497"," 1913–present","Oregon","3",37,497,"/state-37","/state-37/district-3","/state-37/district-3"
"498"," 1943–present","Oregon","4",37,498,"/state-37","/state-37/district-4","/state-37/district-4"
"499"," 1983–present","Oregon","5",37,499,"/state-37","/state-37/district-5","/state-37/district-5"
"500"," 1789–1791, 1793–1795, 1873–1875, 1883–1889, 1893–1903, 1913–1923, 1943–1945 (obsolete)","Pennsylvania","At-large",38,500,"/state-38","/state-38/district-At-large","/state-38/district-At-large"
"501"," 1791–1793, 1795–present","Pennsylvania","1",38,501,"/state-38","/state-38/district-1","/state-38/district-1"
"502"," 1791–1793, 1795–present","Pennsylvania","2",38,502,"/state-38","/state-38/district-2","/state-38/district-2"
"503"," 1791–1793, 1795–present","Pennsylvania","3",38,503,"/state-38","/state-38/district-3","/state-38/district-3"
"504"," 1791–1793, 1795–present","Pennsylvania","4",38,504,"/state-38","/state-38/district-4","/state-38/district-4"
"505"," 1791–1793, 1795–present","Pennsylvania","5",38,505,"/state-38","/state-38/district-5","/state-38/district-5"
"506"," 1791–1793, 1795–present","Pennsylvania","6",38,506,"/state-38","/state-38/district-6","/state-38/district-6"
"507"," 1791–1793, 1795–present","Pennsylvania","7",38,507,"/state-38","/state-38/district-7","/state-38/district-7"
"508"," 1791–1793, 1795–present","Pennsylvania","8",38,508,"/state-38","/state-38/district-8","/state-38/district-8"
"509"," 1795–present","Pennsylvania","9",38,509,"/state-38","/state-38/district-9","/state-38/district-9"
"510"," 1795–present","Pennsylvania","10",38,510,"/state-38","/state-38/district-10","/state-38/district-10"
"511"," 1795–present","Pennsylvania","11",38,511,"/state-38","/state-38/district-11","/state-38/district-11"
"512"," 1795–1803, 1813–present","Pennsylvania","12",38,512,"/state-38","/state-38/district-12","/state-38/district-12"
"513"," 1813–present","Pennsylvania","13",38,513,"/state-38","/state-38/district-13","/state-38/district-13"
"514"," 1813–present","Pennsylvania","14",38,514,"/state-38","/state-38/district-14","/state-38/district-14"
"515"," 1813–present","Pennsylvania","15",38,515,"/state-38","/state-38/district-15","/state-38/district-15"
"516"," 1823–present","Pennsylvania","16",38,516,"/state-38","/state-38/district-16","/state-38/district-16"
"517"," 1823–present","Pennsylvania","17",38,517,"/state-38","/state-38/district-17","/state-38/district-17"
"518"," 1823–present","Pennsylvania","18",38,518,"/state-38","/state-38/district-18","/state-38/district-18"
"519"," 1833–2013 (obsolete since the 2010 census)","Pennsylvania","19",38,519,"/state-38","/state-38/district-19","/state-38/district-19"
"520"," 1833–2003 (obsolete since the 2000 census)","Pennsylvania","20",38,520,"/state-38","/state-38/district-20","/state-38/district-20"
"521"," 1833–2003 (obsolete since the 2000 census)","Pennsylvania","21",38,521,"/state-38","/state-38/district-21","/state-38/district-21"
"522"," 1833–1993 (obsolete since the 1990 census)","Pennsylvania","22",38,522,"/state-38","/state-38/district-22","/state-38/district-22"
"523"," 1833–1993 (obsolete since the 1990 census)","Pennsylvania","23",38,523,"/state-38","/state-38/district-23","/state-38/district-23"
"524"," 1833–1983 (obsolete since the 1980 census)","Pennsylvania","24",38,524,"/state-38","/state-38/district-24","/state-38/district-24"
"525"," 1833–1843, 1853–1863, 1875–1983 (obsolete since the 1980 census)","Pennsylvania","25",38,525,"/state-38","/state-38/district-25","/state-38/district-25"
"526"," 1875–1973 (obsolete since the 1970 census)","Pennsylvania","26",38,526,"/state-38","/state-38/district-26","/state-38/district-26"
"527"," 1875–1973 (obsolete since the 1970 census)","Pennsylvania","27",38,527,"/state-38","/state-38/district-27","/state-38/district-27"
"528"," 1889–1963 (obsolete since the 1960 census)","Pennsylvania","28",38,528,"/state-38","/state-38/district-28","/state-38/district-28"
"529"," 1903–1963 (obsolete since the 1960 census)","Pennsylvania","29",38,529,"/state-38","/state-38/district-29","/state-38/district-29"
"530"," 1903–1963 (obsolete since the 1960 census)","Pennsylvania","30",38,530,"/state-38","/state-38/district-30","/state-38/district-30"
"531"," 1903–1953 (obsolete since the 1950 census)","Pennsylvania","31",38,531,"/state-38","/state-38/district-31","/state-38/district-31"
"532"," 1903–1953 (obsolete since the 1950 census)","Pennsylvania","32",38,532,"/state-38","/state-38/district-32","/state-38/district-32"
"533"," 1923–1953 (obsolete since the 1950 census)","Pennsylvania","33",38,533,"/state-38","/state-38/district-33","/state-38/district-33"
"534"," 1923–1943 (obsolete since the 1940 census)","Pennsylvania","34",38,534,"/state-38","/state-38/district-34","/state-38/district-34"
"535"," 1923–1933 (obsolete since the 1930 census)","Pennsylvania","35",38,535,"/state-38","/state-38/district-35","/state-38/district-35"
