"","key_ID","parliament_ID","session_ID","question_ID","question_number","member_ID","member_name","constituency","event_ID","date","event"
"2785",2785,42,"42-1","42-1-Q-1194","Q-1194",801,"Bob Zimmer","Prince George—Peace River—Northern Rockies",2,"2017/11/09","Made an Order for Return and answer tabled "
"2786",2786,42,"42-1","42-1-Q-1194","Q-1194",801,"Bob Zimmer","Prince George—Peace River—Northern Rockies",1,"2017/09/26","Notice"
"2787",2787,42,"42-1","42-1-Q-1195","Q-1195",801,"Bob Zimmer","Prince George—Peace River—Northern Rockies",2,"2017/11/20","Made an Order for Return and answer tabled "
"2788",2788,42,"42-1","42-1-Q-1195","Q-1195",801,"Bob Zimmer","Prince George—Peace River—Northern Rockies",1,"2017/09/26","Notice"
"2789",2789,42,"42-1","42-1-Q-1196","Q-1196",460,"Dave MacKenzie","Oxford",2,"2017/11/20","Made an Order for Return and answer tabled "
"2790",2790,42,"42-1","42-1-Q-1196","Q-1196",460,"Dave MacKenzie","Oxford",1,"2017/09/26","Notice"
"2791",2791,42,"42-1","42-1-Q-1197","Q-1197",777,"Erin Weir","Regina—Lewvan",1,"2017/09/27","Notice"
"2792",2792,42,"42-1","42-1-Q-1197","Q-1197",777,"Erin Weir","Regina—Lewvan",2,"2017/11/09","Answered"
"2793",2793,42,"42-1","42-1-Q-1198","Q-1198",446,"Ben Lobb","Huron—Bruce",2,"2017/11/20","Made an Order for Return and answer tabled "
"2794",2794,42,"42-1","42-1-Q-1198","Q-1198",446,"Ben Lobb","Huron—Bruce",1,"2017/09/27","Notice"
"2795",2795,42,"42-1","42-1-Q-1199","Q-1199",446,"Ben Lobb","Huron—Bruce",1,"2017/09/27","Notice"
"2796",2796,42,"42-1","42-1-Q-1199","Q-1199",446,"Ben Lobb","Huron—Bruce",2,"2017/11/09","Made an Order for Return and answer tabled "
"2797",2797,42,"42-1","42-1-Q-1200","Q-1200",697,"Robert Sopuck","Dauphin—Swan River—Neepawa",2,"2017/11/20","Made an Order for Return and answer tabled "
"2798",2798,42,"42-1","42-1-Q-1200","Q-1200",697,"Robert Sopuck","Dauphin—Swan River—Neepawa",1,"2017/09/27","Notice"
