"","key_ID","parliament_ID","session_ID","question_ID","question_number","member_ID","member_name","constituency","event_ID","date","event"
"2568",2568,42,"42-1","42-1-Q-1099","Q-1099",485,"Irene Mathyssen","London—Fanshawe",2,"2017/09/18","Answered"
"2569",2569,42,"42-1","42-1-Q-1100","Q-1100",557,"Erin O'Toole","Durham",1,"2017/06/16","Notice"
"2570",2570,42,"42-1","42-1-Q-1100","Q-1100",557,"Erin O'Toole","Durham",2,"2017/09/18","Made an Order for Return and answer tabled "
"2571",2571,42,"42-1","42-1-Q-1101","Q-1101",628,"Blake Richards","Banff—Airdrie",1,"2017/06/19","Notice"
"2572",2572,42,"42-1","42-1-Q-1101","Q-1101",628,"Blake Richards","Banff—Airdrie",2,"2017/09/18","Made an Order for Return and answer tabled "
"2573",2573,42,"42-1","42-1-Q-1102","Q-1102",389,"Pat Kelly","Calgary Rocky Ridge",1,"2017/06/19","Notice"
"2574",2574,42,"42-1","42-1-Q-1102","Q-1102",389,"Pat Kelly","Calgary Rocky Ridge",2,"2017/09/18","Made an Order for Return and answer tabled "
"2575",2575,42,"42-1","42-1-Q-1103","Q-1103",331,"Cheryl Hardcastle","Windsor—Tecumseh",1,"2017/06/20","Notice"
"2576",2576,42,"42-1","42-1-Q-1103","Q-1103",331,"Cheryl Hardcastle","Windsor—Tecumseh",2,"2017/11/01","Answered"
"2577",2577,42,"42-1","42-1-Q-1104","Q-1104",240,"Wayne Easter","Malpeque",2,"2017/10/06","Answered"
"2578",2578,42,"42-1","42-1-Q-1104","Q-1104",240,"Wayne Easter","Malpeque",1,"2017/06/20","Notice"
"2579",2579,42,"42-1","42-1-Q-1105","Q-1105",240,"Wayne Easter","Malpeque",2,"2017/10/06","Answered"
"2580",2580,42,"42-1","42-1-Q-1105","Q-1105",240,"Wayne Easter","Malpeque",1,"2017/06/20","Notice"
"2581",2581,42,"42-1","42-1-Q-1106","Q-1106",715,"Mark Strahl","Chilliwack—Hope",1,"2017/06/20","Notice"
"2582",2582,42,"42-1","42-1-Q-1106","Q-1106",714,"Chuck Strahl","Chilliwack—Hope",1,"2017/06/20","Notice"
