"uri","date","title","uin"
"http://data.parliament.uk/resources/104079","2008-05-13","Education and Skills Bill, It being three hours after the commencement of proceedings on the programme motion, Mr. CWM proceeded to put forthwith the Question already proposed from the Chair, pursuant to Order (this day)","CD:2008-05-13:179"
"http://data.parliament.uk/resources/104080","2008-05-13","Education and Skills Bill, Question put, That the clause be read a Second time","CD:2008-05-13:180"
"http://data.parliament.uk/resources/104081","2008-05-13","Education and Skills Bill, It being Nine o’clock, FDCWM proceeded to put forthwith the Question already proposed from the Chair, pursuant to Order (this day) Question put, That the clause be read a Second time","CD:2008-05-13:181"
"http://data.parliament.uk/resources/104082","2008-05-13","Education and Skills Bill, Question put, That the amendment 72 be made","CD:2008-05-13:182"
"http://data.parliament.uk/resources/104076","2008-05-12","Human Fertilisation and Embryology Bill, Question put, That the Bill be now read a Second time","CD:2008-05-12:176"
"http://data.parliament.uk/resources/104077","2008-05-12","Human Fertilisation and Embryology Bill, Motion made, and Question put forthwith, pursuant to Standing Order No. 83A (Programme motions)","CD:2008-05-12:177"
"http://data.parliament.uk/resources/104075","2008-05-08","Question put forthwith, pursuant to Standing Order No. 163 (motions to sit in private)","CD:2008-05-08:175"
"http://data.parliament.uk/resources/104071","2008-05-07","Temporary and Agency Workers (Equal Treatment) Bill (Money)","CD:2008-05-07:171"
"http://data.parliament.uk/resources/104072","2008-05-07","Civil Service, Question put, That the original words stand part of the Question","CD:2008-05-07:172"
"http://data.parliament.uk/resources/104073","2008-05-07","Civil Service,Question, That the proposed words be there added, put forthwith, pursuant to Standing Order No. 31 (Questions on amendments)","CD:2008-05-07:173"
"http://data.parliament.uk/resources/104074","2008-05-07","Criminal Justice and Immigration Bill, Question put, That this House does not insist on its disagreement with the Lords amendment Nº 285","CD:2008-05-07:174"
"http://data.parliament.uk/resources/104066","2008-05-06","Criminal Justice and Immigration Bill, Question put, That this House disagrees with the Lords amendment Nº 9","CD:2008-05-06:166"
"http://data.parliament.uk/resources/104067","2008-05-06","Criminal Justice and Immigration Bill, Motion made, and Question put, That this House disagrees with the Lords amendment Nº 86","CD:2008-05-06:167"
"http://data.parliament.uk/resources/104068","2008-05-06","Criminal Justice and Immigration Bill, Question put, That this House disagrees with the Lords amendment Nº 285","CD:2008-05-06:168"
"http://data.parliament.uk/resources/104069","2008-05-06","Criminal Justice and Immigration Bill, Question put, That this House disagrees with the Lords amendment Nº 173","CD:2008-05-06:169"
