"uri","date","title","uin"
"http://data.parliament.uk/resources/105588","2014-01-22","Commission Work Programme 2014. Motion [see V&P] made and Question put. Question accordingly agreed to.","CD:2014-01-22:190"
"http://data.parliament.uk/resources/105581","2014-01-21","
Opp Day: Pub Companies, (18th allotted day (SO No. 14)), Motion made and Question proposed, Question put, Question accordingly negatived
","CD:2014-01-21:183"
"http://data.parliament.uk/resources/105582","2014-01-21","Opp Day: Pub Companies, (18th allotted day (SO No. 14)) Question, That the proposed words be there added, put forthwith (SO No. 31). Question accordingly agreed to

","CD:2014-01-21:184"
"http://data.parliament.uk/resources/105583","2014-01-21","Opp Day: Terrorism Prevention and Investigation Measures. Motion made and Question proposed, (SO No. 36). Question put, that the question be now put. Question agreed to. Question accordingly put. Question accordingly negatived.","CD:2014-01-21:185"
"http://data.parliament.uk/resources/105580","2014-01-17","Benefit Entitlement (Restriction) Bill: 2R. Motion made and Q. put, That the Bill be now read a 2nd time. The Dep. Spkr. declared that the  Q.  was not decided because fewer than forty Members had taken part in the Division.","CD:2014-01-17:182"
"http://data.parliament.uk/resources/105577","2014-01-15","Opp Day: (SO No. 14)) Banking; Motion made and Question put, Question accordingly negatived.","CD:2014-01-15:179"
"http://data.parliament.uk/resources/105578","2014-01-15","Opp Day: National Minimum Wage;Motion made and Question proposed, Question put, That the original words stand part of the Question (SO No. 31(2)). Question accordingly negatived.","CD:2014-01-15:180"
"http://data.parliament.uk/resources/105579","2014-01-15","Opp Day: National Minimum Wage; Question put forthwith, That the proposed words be there added (SO No. 31(2)). Question accordingly agreed to","CD:2014-01-15:181"
"http://data.parliament.uk/resources/105574","2014-01-14","Offender Rehabilitation Bill [Lords]: Consideration of the Bill, as amended in the PBC. New Clause NC1 brought up, and read the first time. Question put, That the Clause be read a second time. Question accordingly negatived.
","CD:2014-01-14:176"
"http://data.parliament.uk/resources/105575","2014-01-14","Offender Rehabilitation Bill [Lords]: Consideration of the Bill, as amended in the PBC. New Clause NC4 brought up, and read the first time. Question put, That the Clause be read a second time. Question accordingly negatived.
","CD:2014-01-14:177"
"http://data.parliament.uk/resources/105576","2014-01-14","Offender Rehabilitation Bill [Lords]: Consideration of the Bill, as amended in the PBC. That New Clause NC5 be added to the Bill (Question on new Clause selected for separate decision). Question accordingly negatived.
","CD:2014-01-14:178"
"http://data.parliament.uk/resources/105572","2014-01-13","European Union (Approvals) Bill [Lords]: Second Reading. Motion made and Question put, That the European Union (Approvals) Bill [Lords] be now read a second time. Question accordingly agreed to and Bill read a second time.
","CD:2014-01-13:174"
"http://data.parliament.uk/resources/105573","2014-01-13","Backbench Business (24th allotted day: First half (Standing Order No. 14)). Welfare reforms and poverty. Motion [see V&P] made and Question put. Question accordingly agreed to.
","CD:2014-01-13:175"
"http://data.parliament.uk/resources/105569","2014-01-08","Opp Day:  Housing (SO No. 14)) Motion made and Question put, Question accordingly negatived.","CD:2014-01-08:171"
"http://data.parliament.uk/resources/105570","2014-01-08","Opp Day: Fixed Odds Betting Terminals:Motion made and Question proposed,Question put, That the original words stand part of the Question (Standing Order No. 31(2)). Question accordingly negatived","CD:2014-01-08:172"
"http://data.parliament.uk/resources/105571","2014-01-08","Opp Day: Fixed Odds Betting Terminals: Question put forthwith, That the proposed words be there added (SO No. 31(2)). Question accordingly agreed to.","CD:2014-01-08:173"
"http://data.parliament.uk/resources/105566","2014-01-07","Mesothelioma Bill [Lords]: Consideration of the Bill, as amended in the PBC. New Clause NC2 brought up, and read the first time. Question put, That the Clause be read a second time. Question accordingly negatived.","CD:2014-01-07:168"
"http://data.parliament.uk/resources/105567","2014-01-07","Mesothelioma Bill [Lords]: Consideration of the Bill, as amended in the PBC. Amendment 5 proposed. Question put, That the Amendment be made. Question accordingly negatived.","CD:2014-01-07:169"
"http://data.parliament.uk/resources/105568","2014-01-07","Mesothelioma Bill [Lords]: Consideration of the Bill, as amended in the PBC. Question put, That Amendment 1 be made. Question accordingly negatived.","CD:2014-01-07:170"
"http://data.parliament.uk/resources/105563","2014-01-06","Water Bill: Consideration of the Bill, as amended in the PBC. New Clause NC1 brought up, and read the first time. Question put, That the Clause be read a second time. Question accordingly negatived.","CD:2014-01-06:165"
"http://data.parliament.uk/resources/105564","2014-01-06","Water Bill: Consideration of the Bill, as amended in the PBC. New Clause NC7 brought up, and read the first time. Question put, That the Clause be read a second time. Question accordingly negatived.","CD:2014-01-06:166"
"http://data.parliament.uk/resources/105565","2014-01-06","Water Bill: Consideration of the Bill, as amended in the PBC. That New Clause NC11 be added to the Bill (Question on new Clause selected for separate decision). Question accordingly negatived.","CD:2014-01-06:167"
"http://data.parliament.uk/resources/105561","2013-12-18","Opposition Day: Leader of the Opposition (15th allotted day). Accident and Emergency. Motion [see V&P] made and Question put. Question accordingly negatived.","CD:2013-12-18:163"
"http://data.parliament.uk/resources/105562","2013-12-18","Opposition Day: Leader of the Opposition (15th allotted day). Foodbanks. Motion [see V&P] made and Question put. Question accordingly negatived.","CD:2013-12-18:164"
"http://data.parliament.uk/resources/105559","2013-12-17","Local Audit and Accountability Bill [Lords]: Consideration of the Bill, as amended in the PBC. Question put, That Amendment 15 be made. Question accordingly negatived.","CD:2013-12-17:161"
"http://data.parliament.uk/resources/105560","2013-12-17","Local Audit and Accountability Bill [Lords]: Consideration of the Bill, as amended in the PBC. Question put, That Amendment 18 be made. Question accordingly negatived.","CD:2013-12-17:162"
"http://data.parliament.uk/resources/105558","2013-12-16","Care Bill [Lords]: 2R. Motion made and Question proposed, That the Care Bill [Lords] be now read a second time. Question put, That the Amendment [see V&P] be made. Question accordingly negatived.","CD:2013-12-16:160"
"http://data.parliament.uk/resources/105555","2013-12-11","Financial Services (Banking Reform) Bill: Consid. of Lords Amdts. Lords Amdt. 41. Motion made and Question proposed, That this House disagrees with the Lords in their Amdt. 41. Question agreed to and Lords Amdt. 41 accordingly disagreed to.","CD:2013-12-11:157"
"http://data.parliament.uk/resources/105556","2013-12-11","Financial Services (Banking Reform) Bill: Consid. of Lords Amdts. Lords Amendment 155. Amendment (a) proposed. Question put, That the Amendment be made. Question accordingly negatived.","CD:2013-12-11:158"
"http://data.parliament.uk/resources/105557","2013-12-11","Financial Services (Banking Reform) Bill: Consid. of Lords Amdts. Lords Amendment 155. Amendment (b) proposed. Question put, That the Amendment be made. Question accordingly negatived.","CD:2013-12-11:159"
"http://data.parliament.uk/resources/105553","2013-12-10","Business of the House (Today);Motion made and Question put that the Private Business set down by the Chairman of Ways and Means may be entered upon at any hour; Question accordingly agreed to.","CD:2013-12-10:155"
"http://data.parliament.uk/resources/105554","2013-12-10","National Insurance Contributions Bill: Consideration of the Bill, not amended in the PBC; New Clause NC3; Amnd (a) to the new Clause proposed;Question put,Question accordingly negatived.","CD:2013-12-10:156"
"http://data.parliament.uk/resources/105546","2013-12-04","Statutory Instrument. That the draft European Union (Definition of Treaties) (Colombia and Peru Trade Agreement) Order 2013, which was laid before this House on 21 October, be approved. Question accordingly agreed to.","CD:2013-12-04:148"
"http://data.parliament.uk/resources/105547","2013-12-04","Statutory Instrument. That the draft Categories of Gaming Machine (Amendment) Regulations 2014, which were laid before this House on 15 October, be approved.Question accordingly agreed to.","CD:2013-12-04:149"
"http://data.parliament.uk/resources/105548","2013-12-04","Recall of Elected Representative. That leave be given to bring in a Bill to permit voters to recall their elected representatives in specified circumstances; and for connected purposes. Motion opposed. Q. put. Q. acc. agreed to.","CD:2013-12-04:150"
"http://data.parliament.uk/resources/105549","2013-12-04","Energy Bill: Consid. of Lords Amdts. Dep. Spkr announced Lords Amdts. 50 to 53, 88, 89, 93 and 96 engaged Commons financial privilege. Q. put, That this House disagrees with Lords in their Amdt. 105. Q. agreed to and Lords Amdt. 105 acc. disagreed to","CD:2013-12-04:151"
"http://data.parliament.uk/resources/105550","2013-12-04","Energy Bill: Consideration of Lords Amdts. Motion made and Question put, That Amendment (g) to Lords Amendment 87 be made. Question accordingly negatived.","CD:2013-12-04:152"
"http://data.parliament.uk/resources/105551","2013-12-04","Opposition Day: (unallotted half day). Business Rates. Motion made [see V&P] and Question proposed. Question put, That the original words stand part of the Question. Question accordingly negatived.","CD:2013-12-04:153"
