"uri","date","title","uin"
"http://data.parliament.uk/resources/103580","2006-05-22","Armed Forces Bill","CD:2006-05-22:246"
"http://data.parliament.uk/resources/103576","2006-05-17","Northern Ireland (Miscellaneous Provisions) Bill","CD:2006-05-17:242"
"http://data.parliament.uk/resources/103577","2006-05-17","Northern Ireland (Miscellaneous Provisions) Bill","CD:2006-05-17:243"
"http://data.parliament.uk/resources/103578","2006-05-17","Northern Ireland (Miscellaneous Provisions) Bill","CD:2006-05-17:244"
"http://data.parliament.uk/resources/103569","2006-05-16","Legislative and Regulatory Reform Bill","CD:2006-05-16:235"
"http://data.parliament.uk/resources/103570","2006-05-16","Legislative and Regulatory Reform Bill","CD:2006-05-16:236"
"http://data.parliament.uk/resources/103571","2006-05-16","Legislative and Regulatory Reform Bill","CD:2006-05-16:237"
"http://data.parliament.uk/resources/103572","2006-05-16","Legislative and Regulatory Reform Bill","CD:2006-05-16:238"
"http://data.parliament.uk/resources/103573","2006-05-16","Legislative and Regulatory Reform Bill","CD:2006-05-16:239"
"http://data.parliament.uk/resources/103574","2006-05-16","Legislative and Regulatory Reform Bill","CD:2006-05-16:240"
"http://data.parliament.uk/resources/103575","2006-05-16","Legislative and Regulatory Reform Bill","CD:2006-05-16:241"
"http://data.parliament.uk/resources/103565","2006-05-15","Legislative and Regulatory Reform Bill","CD:2006-05-15:231"
"http://data.parliament.uk/resources/103566","2006-05-15","Legislative and Regulatory Reform Bill","CD:2006-05-15:232"
"http://data.parliament.uk/resources/103567","2006-05-15","Legislative and Regulatory Reform Bill","CD:2006-05-15:233"
"http://data.parliament.uk/resources/103568","2006-05-15","Legislative and Regulatory Reform Bill","CD:2006-05-15:234"
"http://data.parliament.uk/resources/103564","2006-05-12","PRAYERS","CD:2006-05-12:230"
"http://data.parliament.uk/resources/103561","2006-05-10","Police and Justice Bill","CD:2006-05-10:227"
"http://data.parliament.uk/resources/103562","2006-05-10","Police and Justice Bill","CD:2006-05-10:228"
"http://data.parliament.uk/resources/103563","2006-05-10","Police and Justice Bill","CD:2006-05-10:229"
"http://data.parliament.uk/resources/103559","2006-05-09","Management of the National Health Service","CD:2006-05-09:225"
"http://data.parliament.uk/resources/103560","2006-05-09","Mangagement of the National Health Service","CD:2006-05-09:226"
"http://data.parliament.uk/resources/103557","2006-05-08","Civil Aviation Bill","CD:2006-05-08:223"
"http://data.parliament.uk/resources/103558","2006-05-08","Future EU Finances and Own Resources","CD:2006-05-08:224"
"http://data.parliament.uk/resources/103554","2006-05-02","Finance (No. 2) Bill","CD:2006-05-02:220"
"http://data.parliament.uk/resources/103555","2006-05-02","Finance (No. 2) Bill","CD:2006-05-02:221"
"http://data.parliament.uk/resources/103556","2006-05-02","Finance (No. 2) Bill","CD:2006-05-02:222"
