"uri","date","title","uin"
"http://data.parliament.uk/resources/105080","2012-02-01","Local Gov -Draft City of Bristol (Mayoral Referendum) Order 2012;Question accordingly agreed to","CD:2012-02-01:453"
"http://data.parliament.uk/resources/105081","2012-02-01","Welfare Reform Bill: Consideration of Lords Amds;Lords Amd15;House disagrees with Lords  Amendment 15;Lords Amd 15 accordingly disagreed to.
","CD:2012-02-01:454"
"http://data.parliament.uk/resources/105082","2012-02-01","Welfare Reform Bill: Consideration of Lords Amendments;Lords  Amendment No. 19;House agrees with the Lords in their amendment as amended (Standing Order No. 83F(4)(b);Question accordingly agreed to.
","CD:2012-02-01:455"
"http://data.parliament.uk/resources/105083","2012-02-01","Welfare Reform Bill: Consideration of Lords Amds;House disagrees with the Lords in their Amd No. 18 (Standing Order No. 83F(5));Lords Amendment 18 accordingly disagreed to","CD:2012-02-01:456"
"http://data.parliament.uk/resources/105084","2012-02-01","Welfare Reform Bill: Consideration of Lords Amds 47:Motion made and Question proposed, That this House disagrees with the Lords in their Amendment 47","CD:2012-02-01:457"
"http://data.parliament.uk/resources/105085","2012-02-01","Welfare Reform Bill: Consideration of Lords Amd 1 (Standing Order No. 83F(2);Question accordingly agreed to.","CD:2012-02-01:458"
"http://data.parliament.uk/resources/105086","2012-02-01","Welfare Reform Bill: Consideration of Lords Amd 2; (Standing Order No. 83F(5); Question accordingly agreed to.","CD:2012-02-01:459"
"http://data.parliament.uk/resources/105087","2012-02-01","Welfare Reform Bill: Consideration of Lords Amd 73 (Standing Order No. 83F(5);Lords Amendment 73 accordingly disagreed to.","CD:2012-02-01:460"
"http://data.parliament.uk/resources/105072","2012-01-31","Electricity Generation (Wales): Motion for leave to bring in a Bill (Standing Order No. 23)
That leave be given to bring in a Bill to provide that powers relating to energy generation in Wales be devolved to the NA for Wales;Question negatived","CD:2012-01-31:445"
"http://data.parliament.uk/resources/105073","2012-01-31","Local Gov Finance Bill: Cttee of the whole House (3rd allocated day);Clause 8 (Council tax reduction schemes),Amendment 79 proposed;Question put,Question accordingly negatived","CD:2012-01-31:446"
"http://data.parliament.uk/resources/105074","2012-01-31","Local Gov Finance Bill: Cttee of the whole House (3rd allocated day);Amendment 66 proposed;Question put, That the Amendment be made;Question accordingly negatived.","CD:2012-01-31:447"
"http://data.parliament.uk/resources/105075","2012-01-31","Local Gov Finance Bill: Cttee of the whole House (3rd allocated day);Question put, That Clause 8 stand part of the Bill;Question accordingly agreed to.","CD:2012-01-31:448"
"http://data.parliament.uk/resources/105076","2012-01-31","Local Gov Finance Bill: Cttee of the whole House (3rd allocated day);Question put, That New Clause 11 be added to the Bill;Question accordingly negatived","CD:2012-01-31:449"
"http://data.parliament.uk/resources/105068","2012-01-25","Local Government,-That the draft City of Birmingham (Mayoral Referendum) Order 2012, which was laid before this House on 5 December, be approved.","CD:2012-01-25:441"
"http://data.parliament.uk/resources/105069","2012-01-25","Local Government,-That the draft City of Bradford (Mayoral Referendum) Order 2012, which was laid before this House on 5 December, be approved","CD:2012-01-25:442"
"http://data.parliament.uk/resources/105070","2012-01-25","Private Bills [Lords]: London Local Authorities Bill [Lords]: Further consideration of the Bill, as amended (resumed) Mike Freer claimed to move the closure (Standing Order No. 36). Question put, That the Question be now put","CD:2012-01-25:443"
"http://data.parliament.uk/resources/105071","2012-01-25","Private Bills [Lords]: London Local Authorities Bill [Lords]: Further consideration of the Bill, That Amendment 15 be made Question accordingly put, That the Amendment be made","CD:2012-01-25:444"
"http://data.parliament.uk/resources/105064","2012-01-24","Local Government Finance Bill: Committee of the whole House (2nd allocated day) Amendment 33 proposed Question put, That the Amendment be made","CD:2012-01-24:437"
"http://data.parliament.uk/resources/105065","2012-01-24","Local Government Finance Bill: Committee of the whole House (2nd allocated day) Amendment 65 proposed Question put, That the Amendment be made","CD:2012-01-24:438"
"http://data.parliament.uk/resources/105066","2012-01-24","Local Government Finance Bill: Committee of the whole House (2nd allocated day) New Clause NC2 brought up, and read the first time Question put, That the Clause be read a second time","CD:2012-01-24:439"
"http://data.parliament.uk/resources/105067","2012-01-24","Local Government Finance Bill: Committee of the whole House (2nd allocated day) New Clause NC7 brought up, and read the first time Question put, That the Clause be added to the Bill","CD:2012-01-24:440"
"http://data.parliament.uk/resources/105062","2012-01-23","Opposition Day: Rising Food Prices and Food Poverty Motion made and Question put","CD:2012-01-23:435"
