"uri","date","title","uin"
"http://data.parliament.uk/resources/103076","2004-09-08","Pensions Policy","CD:2004-09-08:238"
"http://data.parliament.uk/resources/103077","2004-09-08","Hospital-Acquired Infection","CD:2004-09-08:239"
"http://data.parliament.uk/resources/103078","2004-09-08","Hospital-Acquired Infection","CD:2004-09-08:240"
"http://data.parliament.uk/resources/103074","2004-07-21","Devolution","CD:2004-07-21:236"
"http://data.parliament.uk/resources/103075","2004-07-21","Devolution","CD:2004-07-21:237"
"http://data.parliament.uk/resources/103072","2004-07-20","Iraq","CD:2004-07-20:234"
"http://data.parliament.uk/resources/103073","2004-07-20","Asylum and Immigration (Treatment of Claimants, etc.) Bill","CD:2004-07-20:235"
"http://data.parliament.uk/resources/103068","2004-07-19","Health Protection Agency Bill [Lords]","CD:2004-07-19:230"
"http://data.parliament.uk/resources/103069","2004-07-19","Health Protection Agency Bill [Lords]","CD:2004-07-19:231"
"http://data.parliament.uk/resources/103070","2004-07-19","Council Tax","CD:2004-07-19:232"
"http://data.parliament.uk/resources/103071","2004-07-19","Public Audit (Wales) Bill [Lords]","CD:2004-07-19:233"
"http://data.parliament.uk/resources/103067","2004-07-16","Cod Crusaders","CD:2004-07-16:229"
"http://data.parliament.uk/resources/103062","2004-07-15","Traffic Management Bill [Ways and Means] [No.2]","CD:2004-07-15:224"
"http://data.parliament.uk/resources/103063","2004-07-15","Traffic Management Bill (Programme) (No. 2)","CD:2004-07-15:225"
"http://data.parliament.uk/resources/103064","2004-07-15","Traffic Management Bill","CD:2004-07-15:226"
"http://data.parliament.uk/resources/103065","2004-07-15","Traffic Management Bill","CD:2004-07-15:227"
"http://data.parliament.uk/resources/103066","2004-07-15","Traffic Management Bill","CD:2004-07-15:228"
"http://data.parliament.uk/resources/103061","2004-07-13","Energy Bill [Lords]","CD:2004-07-13:223"
"http://data.parliament.uk/resources/103059","2004-07-12","Asylum and Immigration (Treatment of Claimants, etc.) Bill (Programme) (No.3)","CD:2004-07-12:221"
"http://data.parliament.uk/resources/103060","2004-07-12","Asylum and Immigration (Treatment of Claimants, etc.) Bill","CD:2004-07-12:222"
"http://data.parliament.uk/resources/103055","2004-07-07","Deferred Division","CD:2004-07-07:217"
"http://data.parliament.uk/resources/103056","2004-07-07","Finance Bill","CD:2004-07-07:218"
"http://data.parliament.uk/resources/103057","2004-07-07","Finance Bill","CD:2004-07-07:219"
"http://data.parliament.uk/resources/103058","2004-07-07","Finance Bill","CD:2004-07-07:220"
"http://data.parliament.uk/resources/103053","2004-07-06","Finance Bill","CD:2004-07-06:215"
"http://data.parliament.uk/resources/103054","2004-07-06","Finance Bill","CD:2004-07-06:216"
"http://data.parliament.uk/resources/103050","2004-07-05","Postal Services","CD:2004-07-05:212"
"http://data.parliament.uk/resources/103051","2004-07-05","Personal Indebtedness and Savings","CD:2004-07-05:213"
"http://data.parliament.uk/resources/103052","2004-07-05","Personal Indebtedness and Savings","CD:2004-07-05:214"
"http://data.parliament.uk/resources/103047","2004-06-30","Regional Government","CD:2004-06-30:209"
"http://data.parliament.uk/resources/103048","2004-06-30","Business Deregulation","CD:2004-06-30:210"
"http://data.parliament.uk/resources/103049","2004-06-30","Business Deregulation","CD:2004-06-30:211"
"http://data.parliament.uk/resources/103046","2004-06-28","Human Tissue Bill","CD:2004-06-28:208"
"http://data.parliament.uk/resources/103039","2004-06-23","Parliamentary Contributory Pension Fund","CD:2004-06-23:201"
"http://data.parliament.uk/resources/103040","2004-06-23","Higher Education Bill","CD:2004-06-23:202"
"http://data.parliament.uk/resources/103041","2004-06-23","Higher Education Bill","CD:2004-06-23:203"
"http://data.parliament.uk/resources/103042","2004-06-23","Higher Education Bill","CD:2004-06-23:204"
"http://data.parliament.uk/resources/103043","2004-06-23","Higher Education Bill","CD:2004-06-23:205"
"http://data.parliament.uk/resources/103044","2004-06-23","Higher Education Bill","CD:2004-06-23:206"
"http://data.parliament.uk/resources/103045","2004-06-23","Higher Education Bill","CD:2004-06-23:207"
"http://data.parliament.uk/resources/103037","2004-06-22","Electoral System","CD:2004-06-22:199"
"http://data.parliament.uk/resources/103038","2004-06-22","NHS Recruitment and Retention","CD:2004-06-22:200"
"http://data.parliament.uk/resources/103036","2004-06-21","Health Protection Agency Bill [Lords]","CD:2004-06-21:198"
"http://data.parliament.uk/resources/103034","2004-06-15","Trade Unions (Political Funds) Reform","CD:2004-06-15:196"
"http://data.parliament.uk/resources/103035","2004-06-15","Transport","CD:2004-06-15:197"
"http://data.parliament.uk/resources/103033","2004-06-08","Age-Related Payments Bill","CD:2004-06-08:195"
"http://data.parliament.uk/resources/103031","2004-06-07","Nomination of Select Committees","CD:2004-06-07:193"
"http://data.parliament.uk/resources/103032","2004-06-07","Nomination of Select Committees","CD:2004-06-07:194"
"http://data.parliament.uk/resources/103029","2004-05-26","Local Government Finance","CD:2004-05-26:191"
"http://data.parliament.uk/resources/103030","2004-05-26","Town Planning","CD:2004-05-26:192"
"http://data.parliament.uk/resources/103026","2004-05-25","Gender Recognition Bill [Lords]","CD:2004-05-25:188"
"http://data.parliament.uk/resources/103027","2004-05-25","Gender Recognition Bill [Lords]","CD:2004-05-25:189"
"http://data.parliament.uk/resources/103028","2004-05-25","Gender Recognition Bill [Lords]","CD:2004-05-25:190"
"http://data.parliament.uk/resources/103021","2004-05-24","Civil Contingencies Bill","CD:2004-05-24:183"
"http://data.parliament.uk/resources/103022","2004-05-24","Civil Contingencies Bill","CD:2004-05-24:184"
"http://data.parliament.uk/resources/103023","2004-05-24","Civil Contingencies Bill","CD:2004-05-24:185"
