"uri","date","title","uin"
"http://data.parliament.uk/resources/102566","2003-03-19","Community Care (Delayed Discharges Etc.) Bill","CD:2003-03-19:119"
"http://data.parliament.uk/resources/102567","2003-03-19","Community Care (Delayed Discharges Etc.) Bill","CD:2003-03-19:120"
"http://data.parliament.uk/resources/102568","2003-03-19","Community Care (Delayed Discharges Etc.) Bill","CD:2003-03-19:121"
"http://data.parliament.uk/resources/102569","2003-03-19","Community Care (Delayed Discharges Etc.) Bill","CD:2003-03-19:122"
"http://data.parliament.uk/resources/102570","2003-03-19","Community Care (Delayed Discharges Etc.) Bill","CD:2003-03-19:123"
"http://data.parliament.uk/resources/102571","2003-03-19","Community Care (Delayed Discharges Etc.) Bill","CD:2003-03-19:124"
"http://data.parliament.uk/resources/102572","2003-03-19","Community Care (Delayed Discharges Etc.) Bill","CD:2003-03-19:125"
"http://data.parliament.uk/resources/102573","2003-03-19","Community Care (Delayed Discharges Etc.) Bill","CD:2003-03-19:126"
"http://data.parliament.uk/resources/102574","2003-03-19","Community Care (Delayed Discharges Etc.) Bill","CD:2003-03-19:127"
"http://data.parliament.uk/resources/102575","2003-03-19","Community Care (Delayed Discharges Etc.) Bill","CD:2003-03-19:128"
"http://data.parliament.uk/resources/102576","2003-03-19","Community Care (Delayed Discharges Etc.) Bill","CD:2003-03-19:129"
"http://data.parliament.uk/resources/102577","2003-03-19","Community Care (Delayed Discharges Etc.) Bill","CD:2003-03-19:130"
"http://data.parliament.uk/resources/102564","2003-03-18","Iraq","CD:2003-03-18:117"
"http://data.parliament.uk/resources/102565","2003-03-18","Iraq","CD:2003-03-18:118"
"http://data.parliament.uk/resources/102562","2003-03-17","Northern Ireland Assembly Elections Bill","CD:2003-03-17:115"
"http://data.parliament.uk/resources/102563","2003-03-17","Personal Statement","CD:2003-03-17:116"
"http://data.parliament.uk/resources/102561","2003-03-14","Government Powers (Limitation) Bill","CD:2003-03-14:114"
"http://data.parliament.uk/resources/102560","2003-03-12","Deferred Divisions","CD:2003-03-12:113"
"http://data.parliament.uk/resources/102559","2003-03-11","Specialist Schools (Selection by Aptitude)","CD:2003-03-11:112"
"http://data.parliament.uk/resources/102554","2003-03-10","Local Government Bill","CD:2003-03-10:107"
"http://data.parliament.uk/resources/102555","2003-03-10","Local Government Bill","CD:2003-03-10:108"
