"uri","date","title","uin"
"http://data.parliament.uk/resources/104549","2010-01-25","Financial Services Bill, Amendment proposed: 3, in page 1, line 3, leave out clause 1 Question put, That the amendment be made","CD:2010-01-25:57"
"http://data.parliament.uk/resources/104546","2010-01-21","Bournmouth Borough Bill [Lords] and Manchester City Council Bill [Lords] move the closure (Standing Order No. 36), Question put forthwith, That the Question be now put","CD:2010-01-21:54"
"http://data.parliament.uk/resources/104547","2010-01-21","Bournemouth Borough Council Bill [Lords] amendments 2, 3, 7 to 31 and 74 and Manchester City Council Bill [Lords] amd 2 to 26, 28 to 34 and 37 be made","CD:2010-01-21:55"
"http://data.parliament.uk/resources/104539","2010-01-20","Adjournment (February) That this House, at its rising on Wednesday 10 February 2010, do adjourn till Monday 22 February 2010","CD:2010-01-20:48"
"http://data.parliament.uk/resources/104540","2010-01-20","Fiscal Responsibility Bill, Question put, That Clause 1 Stand part of the bill, Sitting in Committe","CD:2010-01-20:49"
"http://data.parliament.uk/resources/104541","2010-01-20","Fiscal Responsibility Bill, being after 6pm, Chair put Questions necessary to bring to a conclusion proceedings in Committee (Order, 5 Jan). Question put, That New Clause NC1 be added to the Bill, Sitting in Committee","CD:2010-01-20:50"
"http://data.parliament.uk/resources/104542","2010-01-20","Fiscal Responsibility Bill, Question put, That the clause stand part of the Bill, Sitting in Committee","CD:2010-01-20:51"
"http://data.parliament.uk/resources/104543","2010-01-20","Fiscal Responsibility Bill, Question put, That the clause 1 be added to the Bill, Sitting in Committee","CD:2010-01-20:52"
"http://data.parliament.uk/resources/104545","2010-01-20","Fiscal Responsibility Bill, Debate interrupted (Programme Order, 10 January), The Deputy Speaker put forthwith the Question already proposed from the Chair (Standing Order No. 83E), That the Bill be now read the Third time","CD:2010-01-20:53"
"http://data.parliament.uk/resources/104534","2010-01-19","Constitutional Reform and Governance Bill (Programme) (No. 3), Three quarters of an hour having elapsed since the commencement of proceedings on the motion, the Deputy Speaker put the Question (Standing Order No. 83A (9)","CD:2010-01-19:43"
"http://data.parliament.uk/resources/104535","2010-01-19","Constitutional Reform and Governance Bill, Question put that amendment 1 be made, Sitting in Committee","CD:2010-01-19:44"
"http://data.parliament.uk/resources/104536","2010-01-19","Constitutional Reform and Governance Bill, It being after 10.00 pm, the Chair put Questions necessary to bring to a conclusion proceedings, question put that amend 125 to 128 be made & New Clause 68, Sitting in Committee","CD:2010-01-19:45"
"http://data.parliament.uk/resources/104537","2010-01-19","Constitutional Reform and Governance Bill, question put that amemdment 116 and new clause 59 be made, Sitting in Committee","CD:2010-01-19:46"
"http://data.parliament.uk/resources/104538","2010-01-19","Constitutional Reform and Governance Bill, Question put , That the schedule, as amended, be the Fifth schedule to the Bill, Sitting in Committee","CD:2010-01-19:47"
"http://data.parliament.uk/resources/104533","2010-01-18","Crime and security Bill, Question put, That the Bill be now read a Second time","CD:2010-01-18:42"
"http://data.parliament.uk/resources/104531","2010-01-14","Canterbury City Council Bill, Motion made and Question put, That the Bill be now read the third time","CD:2010-01-14:40"
"http://data.parliament.uk/resources/104532","2010-01-14","Nottingham City Council Bill, Motion made and Question put, That the Bill be now read the third time","CD:2010-01-14:41"
"http://data.parliament.uk/resources/104528","2010-01-13","Veterans' Welfare, Question put, That the original words stand part of the Question (Standing Order No. 31(2))","CD:2010-01-13:37"
"http://data.parliament.uk/resources/104529","2010-01-13","Energy Security, Question put, That the original words stand part of the Question (Standing Order No. 31(2))","CD:2010-01-13:38"
"http://data.parliament.uk/resources/104530","2010-01-13","Energy Security, Question, That the proposed words be there added, put forthwith (Standing Order No. 31)","CD:2010-01-13:39"
"http://data.parliament.uk/resources/104525","2010-01-12","Personal Care at Home Bill, Question put, That the amendment 31 be made. Sitting in Committe","CD:2010-01-12:34"
